Feature,Target_Correlation,Abs_Correlation
AUTOCORR2D_145,0.09564484887915672,0.09564484887915672
AUTOCORR2D_129,-0.09534050239862109,0.09534050239862109
AUTOCORR2D_185,0.09498427442915225,0.09498427442915225
AUTOCORR2D_97,-0.0949332154760254,0.0949332154760254
AUTOCORR2D_163,0.09400578476848549,0.09400578476848549
EState_VSA1,0.09385562607139075,0.09385562607139075
AUTOCORR2D_102,0.09325222084446701,0.09325222084446701
AUTOCORR2D_147,0.0928214867541278,0.0928214867541278
AUTOCORR2D_121,-0.09244930825755754,0.09244930825755754
AUTOCORR2D_132,-0.08932285759887412,0.08932285759887412
AUTOCORR2D_119,0.08826755985181202,0.08826755985181202
num_N,0.08819705273416127,0.08819705273416127
AUTOCORR2D_135,0.08791119838347028,0.08791119838347028
NOCount,0.08652699246943292,0.08652699246943292
AUTOCORR2D_113,-0.0849784897915577,0.0849784897915577
mose_cyc6,-0.08178985407802733,0.08178985407802733
AUTOCORR2D_177,0.0808973498924655,0.0808973498924655
AUTOCORR2D_116,-0.08037312724500519,0.08037312724500519
AUTOCORR2D_139,-0.08030475018404816,0.08030475018404816
NumAliphaticRings,-0.07953662154648591,0.07953662154648591
fr_nitro_arom,-0.07778744052247771,0.07778744052247771
AUTOCORR2D_134,0.07778139422627443,0.07778139422627443
AUTOCORR2D_146,0.07724136802338252,0.07724136802338252
mose_cyc3,-0.077207750613461,0.077207750613461
AUTOCORR2D_184,-0.07704369031895163,0.07704369031895163
NumSaturatedHeterocycles,0.07556988917383312,0.07556988917383312
AUTOCORR2D_172,-0.07500954517868083,0.07500954517868083
AUTOCORR2D_72,0.07499586570004212,0.07499586570004212
AUTOCORR2D_127,0.07444078280068431,0.07444078280068431
AUTOCORR2D_156,-0.07434587922557279,0.07434587922557279
fr_para_hydroxylation,-0.07185276665920413,0.07185276665920413
MinPartialCharge,-0.07143961531454558,0.07143961531454558
AUTOCORR2D_59,-0.07115187121543376,0.07115187121543376
fr_nitro_arom_nonortho,-0.07054812738846733,0.07054812738846733
AUTOCORR2D_136,-0.07034678921774774,0.07034678921774774
fr_ketone,-0.07024670367389695,0.07024670367389695
AUTOCORR2D_153,0.06861814659850857,0.06861814659850857
AUTOCORR2D_161,0.06793282533658274,0.06793282533658274
AUTOCORR2D_130,-0.06634430816502011,0.06634430816502011
abraham_B,0.06594023368356859,0.06594023368356859
PEOE_VSA3,0.06591928970737056,0.06591928970737056
AUTOCORR2D_169,0.06571478035662771,0.06571478035662771
MaxAbsPartialCharge,0.06545403095541023,0.06545403095541023
fr_NH1,0.06510813882754056,0.06510813882754056
fr_aldehyde,0.06490805212689663,0.06490805212689663
AUTOCORR2D_111,0.06470214844728678,0.06470214844728678
MinAbsEStateIndex,0.0640763556191642,0.0640763556191642
AUTOCORR2D_64,-0.061536092972617674,0.061536092972617674
AUTOCORR2D_180,-0.0602121381524926,0.0602121381524926
qed,0.059719849308848945,0.059719849308848945
NumAmideBonds,0.05915486562297583,0.05915486562297583
fr_amide,0.05915486562297583,0.05915486562297583
PEOE_VSA12,0.059006154145522655,0.059006154145522655
AUTOCORR2D_82,-0.058421883726834906,0.058421883726834906
AUTOCORR2D_118,0.05831395657527066,0.05831395657527066
num_O,0.057562184229555974,0.057562184229555974
num_F,-0.05554349242089338,0.05554349242089338
AUTOCORR2D_101,0.05543786410649687,0.05543786410649687
MaxPartialCharge,0.05542100857921115,0.05542100857921115
AUTOCORR2D_126,0.05378785145690562,0.05378785145690562
fr_nitro,-0.05364367785420743,0.05364367785420743
EState_VSA11,-0.05267533207590202,0.05267533207590202
fr_guanido,0.05148932109132711,0.05148932109132711
AUTOCORR2D_100,-0.05115350008198878,0.05115350008198878
PEOE_VSA10,-0.050502679143080514,0.050502679143080514
fr_ArN,0.04989159758198075,0.04989159758198075
fr_nitroso,0.049803793809081356,0.049803793809081356
MinAbsPartialCharge,0.0490357351939728,0.0490357351939728
NumHeterocycles,0.048287046835359476,0.048287046835359476
AUTOCORR2D_143,0.04742836483510941,0.04742836483510941
fr_C_O_noCOO,-0.04642765018448842,0.04642765018448842
