Feature,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Abs_Pearson,Abs_Spearman,Quadratic_R2
MACCS_163,-0.25263009943915493,2.957542327314839e-109,-0.2836021487775271,2.2640845839431067e-138,0.25263009943915493,0.2836021487775271,0.0638219671426371
AUTOCORR2D_96,-0.2522041136985752,6.992493113530858e-109,-0.35637709474994456,7.183947962619373e-223,0.2522041136985752,0.35637709474994456,0.06409123686796858
NumRotatableBonds,-0.2517860000440387,1.6245506602715634e-108,-0.1791394986778711,5.565130256898521e-55,0.2517860000440387,0.1791394986778711,0.06353436434814819
MACCS_144,-0.25087231825994427,1.0194465113477114e-107,-0.24115252358173497,1.9575495257080546e-99,0.25087231825994427,0.24115252358173497,0.06293692006911866
MACCS_134,-0.24977243907076158,9.20869240537347e-107,-0.23217175682787977,4.1727207007507585e-92,0.24977243907076158,0.23217175682787977,0.062386271319357145
AUTOCORR2D_94,-0.24907277239241712,3.7133498903092423e-106,-0.39071771282461754,2.3987519517968017e-271,0.24907277239241712,0.39071771282461754,0.09416509288972275
AUTOCORR2D_52,-0.2468431100022671,3.067528199634094e-104,-0.342703394797823,3.6062740360263797e-205,0.2468431100022671,0.342703394797823,0.1343162475811679
AUTOCORR2D_167,-0.24534994849686312,5.750918837424459e-103,-0.36095087598924663,5.453237034385639e-229,0.24534994849686312,0.36095087598924663,0.10673906389859389
AUTOCORR2D_93,-0.24432827943390467,4.224054117732976e-102,-0.35229112887059294,1.7315616624724466e-217,0.24432827943390467,0.35229112887059294,0.07822259064591275
AUTOCORR2D_128,-0.24214526499331446,2.900847252435162e-100,-0.31028384668211195,1.2317661517903369e-166,0.24214526499331446,0.31028384668211195,0.05914436939107193
AUTOCORR2D_151,-0.24168569072413976,7.028435191336132e-100,-0.3810210060255187,4.6648406207657954e-257,0.24168569072413976,0.3810210060255187,0.10655084503866719
Morgan_849,-0.24149114496656543,1.021662713374918e-99,-0.2674913458339166,9.621611136079308e-123,0.24149114496656543,0.2674913458339166,0.05831797309726272
AUTOCORR2D_104,-0.24119327849045247,1.8102862083923173e-99,-0.31013032332111173,1.8275825163078606e-166,0.24119327849045247,0.31013032332111173,0.05824982654544397
pred_Tm,-0.23963652217071302,3.553063065510909e-98,-0.19975104000213806,3.4964675714740507e-68,0.23963652217071302,0.19975104000213806,0.0582413342576823
PEOE_VSA9,-0.2386077678284062,2.510910384226747e-97,-0.1655213448551546,4.313611639371153e-47,0.2386077678284062,0.1655213448551546,0.058733542768181546
AUTOCORR2D_159,-0.23830230218906467,4.479250621467005e-97,-0.35513905964865766,3.129982505647749e-221,0.23830230218906467,0.35513905964865766,0.09107081328227806
NHOHCount,0.23828624304912271,4.617541716059898e-97,0.26261122285257904,3.231797909214156e-118,0.23828624304912271,0.26261122285257904,0.0638298432453751
Morgan_356,-0.23817641441697268,5.684555763694581e-97,-0.26490258763559704,2.489804168791894e-120,0.23817641441697268,0.26490258763559704,0.05672800438452541
AUTOCORR2D_54,-0.23779582652717296,1.1673560346361553e-96,-0.43736448375723086,0.0,0.23779582652717296,0.43736448375723086,0.11158832076410075
MACCS_62,-0.2369602833302459,5.640621197232811e-96,-0.21782269635254342,4.929078189495545e-81,0.2369602833302459,0.21782269635254342,0.05615017587595039
AUTOCORR2D_182,-0.23686987600884493,6.686355733304323e-96,-0.31417113219611076,5.219273434644533e-171,0.23686987600884493,0.31417113219611076,0.09938167667855768
MACCS_150,-0.23659040760832012,1.1306179259587304e-95,-0.23242448838465285,2.6206358088161875e-92,0.23659040760832012,0.23242448838465285,0.05597502097227092
AUTOCORR2D_70,-0.2353448429693804,1.1652203391979511e-94,-0.3669969280568562,3.0986832943895444e-237,0.2353448429693804,0.3669969280568562,0.08456722283210671
AUTOCORR2D_175,-0.2352893359193024,1.2924589326826273e-94,-0.3586836247653205,6.0652076931480344e-226,0.2352893359193024,0.3586836247653205,0.09362914110152853
AUTOCORR2D_144,0.23468684371537007,3.973714555917496e-94,0.271356114874702,2.1413414328797294e-126,0.23468684371537007,0.271356114874702,0.06254617700871334
AUTOCORR2D_53,-0.2335251348491891,3.433973235179407e-93,-0.39622462545624576,1.1161641385116922e-279,0.2335251348491891,0.39622462545624576,0.13008017583902542
AUTOCORR2D_92,-0.23292880834373003,1.0341090055703028e-92,-0.30038635847486905,8.483190279412405e-156,0.23292880834373003,0.30038635847486905,0.06581586631436676
AUTOCORR2D_69,-0.23212343624631337,4.5605269229824824e-92,-0.31427422954299195,3.9877920409014966e-171,0.23212343624631337,0.31427422954299195,0.07616902123238045
AUTOCORR2D_90,-0.22838622052306945,4.141383828934976e-89,-0.2648230365031755,2.950436274537729e-120,0.22838622052306945,0.2648230365031755,0.06231698644102557
AUTOCORR2D_120,-0.22775911436735197,1.283274361110777e-88,-0.30143094566442774,6.376787976433282e-157,0.22775911436735197,0.30143094566442774,0.052703438013042114
NumHDonors,0.22636329502840125,1.5711881015370597e-87,0.2544525091836857,7.31361086971292e-111,0.22636329502840125,0.2544525091836857,0.05931142659781152
fr_unbrch_alkane,-0.22568812037398434,5.245851178670317e-87,-0.15258326552011522,3.3628474690736386e-40,0.22568812037398434,0.15258326552011522,0.052632572896914254
